  0.0000000000    0.4550000000 
  0.0100000000    0.1000000000    174    199 
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
  0.0000000000    0.0151933030    0.0303869132    0.0455811346    0.0607762642
  0.0759725893    0.0911703838    0.1063699055    0.1215713934    0.1367750649
  0.1519811133    0.1671897063    0.1824009836    0.1976150553    0.2128320014
  0.2280518697    0.2432746759    0.2585004343    0.2737290466    0.2889604508
  0.3041945305    0.3194311365    0.3346700859    0.3499111629    0.3651541179
  0.3803891905    0.3956331741    0.4108777805    0.4261225798    0.4413670997
  0.4566108233    0.4718531858    0.4870935712    0.5023313078    0.5175656640
  0.5327958423    0.5480209739    0.5632401117    0.5784522233    0.5936561832
  0.6088507652    0.6240346335    0.6392063342    0.6543642869    0.6695067758
  0.6846319417    0.6997377740    0.7148221033    0.7298825958    0.7449167479
  0.7599306202    0.7749050866    0.7898447530    0.8047464128    0.8196066873
  0.8344220329    0.8491887504    0.8639029982    0.8785608068    0.8931580984
  0.9076907076    0.9221544057    0.9365449274    0.9508579987    0.9650893678
  0.9792348816    0.9932903551    1.0072518229    1.0211154366    1.0348775256
  1.0485346239    1.0620784284    1.0755211596    1.0888449027    1.1020523008
  1.1151412269    1.1281098596    1.1409566857    1.1536805003    1.1662870848
  1.1787638149    1.1911157685    1.2033428751    1.2154453155    1.2274235041
  1.2392780695    1.2510098338    1.2626197911    1.2741090860    1.2854789922
  1.2967308640    1.3078661895    1.3188864790    1.3297932942    1.3405882172
  1.3512728309    1.3618487004    1.3723173560    1.3826802764    1.3929404944
  1.4030944836    1.4131483302    1.4231015658    1.4329552068    1.4427101564
  1.4523671825    1.4619269459    1.4713899961    1.4807592604    1.4900297076
  1.4992040689    1.5082805483    1.5172632336    1.5261497292    1.5349397783
  1.5436329338    1.5522288334    1.5607229541    1.5691212107    1.5774201398
  1.5856186453    1.5937153797    1.6017083201    1.6095946665    1.6173703524
  1.6250291309    1.6325622518    1.6399569820    1.6471974224    1.6542680488
  1.6611695603   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
  0.0000000000    0.0141730681    0.0283465279    0.0425207685    0.0566961733
  0.0708731179    0.0850519668    0.0992330714    0.1134167673    0.1276033720
  0.1417931828    0.1559864744    0.1701834972    0.1843844757    0.1985896064
  0.2127990567    0.2270129635    0.2412314322    0.2554545664    0.2696823580
  0.2839148339    0.2981519662    0.3123936921    0.3266399136    0.3408904974
  0.3551452743    0.3694040396    0.3836665521    0.3979325342    0.4122016721
  0.4264634530    0.4407360242    0.4550103131    0.4692858176    0.4835619916
  0.4978382425    0.5121139298    0.5263883623    0.5406607956    0.5549304295
  0.5691964041    0.5834577971    0.5977136192    0.6119628108    0.6262042373
  0.6404366847    0.6546588555    0.6688693639    0.6830667315    0.6972493828
  0.7114156415    0.7255637265    0.7396917489    0.7537977093    0.7678878275
  0.7819444156    0.7959723916    0.8099693087    0.8239326080    0.8378596221
  0.8517475798    0.8655936117    0.8793947587    0.8931479803    0.9068501663
  0.9204981485    0.9340887151    0.9476186251    0.9610846256    0.9744835048
  0.9878119815    1.0010668979    1.0142451336    1.0273436476    1.0403594980
  1.0532898594    1.0661320402    1.0788834981    1.0915418551    1.1041049097
  1.1165706479    1.1289372518    1.1412031084    1.1533668066    1.1654221183
  1.1773831626    1.1892340559    1.2009792624    1.2126184109    1.2241513243
  1.2355842105    1.2469063533    1.2581228774    1.2692342701    1.2802411589
  1.2911442992    1.3019445628    1.3126429261    1.3232404193    1.3337382264
  1.3441375376    1.3544396136    1.3646457577    1.3747573051    1.3847756123
  1.3947020476    1.4045379818    1.4142847800    1.4239437939    1.4335163590
  1.4430037388    1.4524072484    1.4617280949    1.4709674390    1.4801264615
  1.4892126634    1.4982076729    1.5071318770    1.5159797334    1.5247520684
  1.5334496281    1.5420760553    1.5506265728    1.5591042931    1.5675097436
  1.5758434616    1.5841059083    1.5922974715    1.6004184965    1.6084694086
  1.6164504299    1.6243619269    1.6322047480    1.6399789588    1.6476844247
  1.6553213679    1.6628850065    1.6703842360    1.6778153464    1.6851783694
  1.6924732679    1.6996998038    1.7068576317    1.7139460902    1.7209640535
  1.7279100984    1.7347821579    1.7415767389    1.7482904884    1.7549186758
  1.7614561588    1.7678944692    1.7742659928    1.7761994157   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
  0.0000000000    0.0133361828    0.0266727539    0.0400100995    0.0533486017
  0.0666886366    0.0800305722    0.0933747667    0.1067215662    0.1200713031
  0.1334242943    0.1467808395    0.1601412195    0.1735056947    0.1868745036
  0.2002478613    0.2136259585    0.2270089600    0.2403970039    0.2537902323
  0.2671886766    0.2805924117    0.2940014603    0.3074158145    0.3208354355
  0.3342602526    0.3476901631    0.3611250321    0.3745646917    0.3880089413
  0.4014575469    0.4149102410    0.4283667222    0.4418266548    0.4552811414
  0.4687454245    0.4822117409    0.4956795886    0.5091484264    0.5226176725
  0.5360867031    0.5495548517    0.5630214070    0.5764856113    0.5899466593
  0.6034036953    0.6168558121    0.6303020479    0.6437413849    0.6571727463
  0.6705949944    0.6840069280    0.6974072805    0.7107947170    0.7241678329
  0.7375251517    0.7508651235    0.7641861237    0.7774864519    0.7907725318
  0.8040272732    0.8172559143    0.8304564609    0.8436268463    0.8567649333
  0.8698685182    0.8829353344    0.8959630575    0.9089493113    0.9218916743
  0.9347876875    0.9476348625    0.9604306909    0.9731726872    0.9858582811
  0.9984849884    1.0110503253    1.0235518425    1.0359871364    1.0483538613
  1.0606497406    1.0728725784    1.0850202698    1.0970908112    1.1090823097
  1.1209929912    1.1328151210    1.1445593474    1.1562182943    1.1677907357
  1.1792812331    1.1906772235    1.2019837964    1.2132003029    1.2243262391
  1.2353612437    1.2463050933    1.2571576992    1.2679191014    1.2785894634
  1.2891690652    1.2996582972    1.3100638362    1.3203756156    1.3305988666
  1.3407343047    1.3507827776    1.3607451490    1.3706223518    1.3804153672
  1.3901252186    1.3997529646    1.4092996925    1.4187665125    1.4281545520
  1.4374649508    1.4466988591    1.4558574008    1.4649417404    1.4739530296
  1.4828923620    1.4917608808    1.5005597059    1.5092898451    1.5179524175
  1.5265484241    1.5350789131    1.5435448084    1.5519471554    1.5602867976
  1.5685646699    1.5767816409    1.5849385488    1.5930361722    1.6010753596
  1.6090568137    1.6169840284    1.6248525422    1.6326654278    1.6404232387
  1.6481266494    1.6557762154    1.6633725040    1.6709160666    1.6784074634
  1.6858471913    1.6932357828    1.7005737375    1.7078615311    1.7150996675
  1.7222886439    1.7294289120    1.7365209494    1.7435652612    1.7505622814
  1.7575157379    1.7644207662    1.7712745663    1.7780873207    1.7848551771
  1.7915785911    1.7982580227    1.8048938890    1.8114865849    1.8180365806
  1.8245441832    1.8310096768    1.8374331956    1.8438150174    1.8501553688
  1.8564541132    1.8627106632    1.8689251666    1.8750976252    1.8812247833
  0.0000000000    0.0126371546    0.0252746671    0.0379128939    0.0505521884
  0.0631928995    0.0758351323    0.0884795721    0.1011263942    0.1137759100
  0.1264284190    0.1390842082    0.1517435503    0.1644067026    0.1770739061
  0.1897453838    0.2024213402    0.2151019597    0.2277874060    0.2404778208
  0.2531733576    0.2658740580    0.2785800179    0.2912912852    0.3040078821
  0.3167298050    0.3294570237    0.3421894814    0.3549270935    0.3676697481
  0.3804173050    0.3931695959    0.4059264235    0.4186875619    0.4314527560
  0.4442217211    0.4569941429    0.4697696772    0.4825479496    0.4953208671
  0.5081021799    0.5208847593    0.5336680869    0.5464516098    0.5592347403
  0.5720168550    0.5847972938    0.5975753590    0.6103503146    0.6231213850
  0.6358877538    0.6486485627    0.6614029108    0.6741498525    0.6868883971
  0.6996175070    0.7123360970    0.7250430330    0.7377371308    0.7504171556
  0.7630818210    0.7757297884    0.7883596669    0.8009700129    0.8135668262
  0.8261346135    0.8386783442    0.8511963789    0.8636870297    0.8761485630
  0.8885792013    0.9009771265    0.9133404830    0.9256673820    0.9379559054
  0.9502041110    0.9624100376    0.9745717456    0.9866871987    0.9987544401
  1.0107714956    1.0227364045    1.0346472275    1.0465020527    1.0582990055
  1.0700362535    1.0817120155    1.0933182686    1.1048655141    1.1163463108
  1.1277591544    1.1391026241    1.1503753874    1.1615762045    1.1727039321
  1.1837575265    1.1947360459    1.2056386520    1.2164646113    1.2272132949
  1.2378841785    1.2484768412    1.2589909638    1.2694263269    1.2797828082
  1.2900603789    1.3002591008    1.3103791221    1.3204247899    1.3303869706
  1.3402712475    1.3500780778    1.3598079505    1.3694614796    1.3790442487
  1.3885489164    1.3979793663    1.4073363594    1.4166206924    1.4258331933
  1.4349747168    1.4440461412    1.4530483723    1.4619822941    1.4708488406
  1.4796489823    1.4883836383    1.4970537223    1.5056566092    1.5142002849
  1.5226822854    1.5311034948    1.5394648622    1.5477673097    1.5560117646
  1.5641990676    1.5723301532    1.5804058443    1.5884270379    1.5963945140
  1.6043091551    1.6121717148    1.6199856149    1.6277460465    1.6354566642
  1.6431182379    1.6507314350    1.6582970127    1.6658156449    1.6732879897
  1.6807146898    1.6880963815    1.6954336923    1.7027299185    1.7099808318
  1.7171891393    1.7243553881    1.7314801268    1.7385639236    1.7456072614
  1.7526106715    1.7595746764    1.7664997799    1.7733864575    1.7802351889
  1.7870464501    1.7938207405    1.8005585212    1.8072602522    1.8139263716
  1.8205573756    1.8271537145    1.8337158021    1.8402441234    1.8467391232
  0.0000000000    0.0120444804    0.0240892749    0.0361346967    0.0481810567
  0.0602286628    0.0722778185    0.0843288222    0.0963819659    0.1084356013
  0.1204934114    0.1325541109    0.1446179480    0.1566851595    0.1687559697
  0.1808305897    0.1929092166    0.2049920322    0.2170792026    0.2291708772
  0.2412672142    0.2533682862    0.2654742069    0.2775850527    0.2897008802
  0.3018217254    0.3139476032    0.3260785069    0.3382144082    0.3503552559
  0.3625009763    0.3746514725    0.3868066242    0.3989662871    0.4111302932
  0.4232984500    0.4354705404    0.4476463228    0.4598255305    0.4720078714
  0.4841930286    0.4963806591    0.5085703944    0.5207618399    0.5329545747
  0.5451410689    0.5573339726    0.5695266053    0.5817184225    0.5939088503
  0.6060972852    0.6182830935    0.6304656106    0.6426441404    0.6548179551
  0.6669862943    0.6791483643    0.6913033379    0.7034503533    0.7155885139
  0.7277168876    0.7398345062    0.7519403653    0.7640334234    0.7761126023
  0.7881767861    0.8002248220    0.8122555197    0.8242676523    0.8362599563
  0.8482383972    0.8601880994    0.8721140827    0.8840149555    0.8958892957
  0.9077356525    0.9195525483    0.9313384815    0.9430919288    0.9548113484
  0.9664952114    0.9781419042    0.9897498697    1.0013175281    1.0128432997
  1.0243256096    1.0357628922    1.0471535962    1.0584961892    1.0697891625
  1.0810310362    1.0922203637    1.1033493812    1.1144288959    1.1254517573
  1.1364167030    1.1473225266    1.1581680819    1.1689522860    1.1796741222
  1.1903326433    1.2009269730    1.2114563087    1.2219199222    1.2323171610
  1.2426474488    1.2529102860    1.2631052491    1.2732319901    1.2832902358
  1.2932797862    1.3032005131    1.3130523579    1.3228353297    1.3325495028
  1.3421950144    1.3517720622    1.3612809026    1.3707218497    1.3800952155
  1.3894014575    1.3986410074    1.4078143559    1.4169254598    1.4259663176
  1.4349425397    1.4438547552    1.4527077358    1.4614960905    1.4702225707
  1.4788878698    1.4874927470    1.4960379253    1.5045241502    1.5129521935
  1.5213227742    1.5296367191    1.5378947628    1.5460939085    1.5542421654
  1.5623368640    1.5703787748    1.5783686136    1.5863072121    1.5941952573
  1.6020335499    1.6098227565    1.6175636569    1.6252569799    1.6329033883
  1.6405036249    1.6480583765    1.6555682808    1.6630340613    1.6704563154
  1.6778357218    1.6851728967    1.6924684922    1.6997230854    1.7069372813
  1.7141116788    1.7212468231    1.7283433168    1.7354016753    1.7424224615
  1.7494082735    1.7563549703    1.7632656090    1.7701406806    1.7769807435
  1.7837862305    1.7905576576    1.7972954335    1.8040028652    1.8106754289
  0.0000000000    0.0115353495    0.0230709674    0.0346071213    0.0461440774
  0.0576820995    0.0692214485    0.0807623814    0.0923051509    0.1038500041
  0.1153971825    0.1269469207    0.1384957445    0.1500505552    0.1616084771
  0.1731697004    0.1847344049    0.1963027589    0.2078749186    0.2194510277
  0.2310312165    0.2426156309    0.2542043257    0.2657974091    0.2773949533
  0.2889970146    0.3006036325    0.3122148300    0.3238306125    0.3354509677
  0.3470758652    0.3587052561    0.3703390725    0.3819772275    0.3936196148
  0.4052661082    0.4169165616    0.4285708089    0.4402286634    0.4518899176
  0.4635543437    0.4752216926    0.4868916940    0.4985640567    0.5102384677
