  0.165 0.4435 0.0753 3.5083 0.0282 0.0000 0.0000 0.0000 0.0000   1455.   374.    81.   138.
  0.164 0.4243 0.0722 3.3709 0.0286 0.0000 0.0000 0.0000 0.0000   1455.   374.    80.   136.
  0.163 0.4155 0.0707 3.3108 0.0341 0.0113 0.0015 0.0026 0.0027   1455.   374.    80.   136.
  0.162 0.4068 0.0691 3.2515 0.0396 0.0226 0.0031 0.0052 0.0055   1455.   374.    80.   136.
  0.161 0.3983 0.0676 3.1929 0.0450 0.0339 0.0046 0.0079 0.0082   1454.   374.    80.   136.
  0.160 0.3899 0.0660 3.1350 0.0505 0.0452 0.0062 0.0105 0.0110   1454.   374.    80.   136.
  0.159 0.3816 0.0646 3.0779 0.0560 0.0565 0.0077 0.0131 0.0137   1454.   374.    80.   136.
  0.158 0.3735 0.0631 3.0214 0.0615 0.0678 0.0093 0.0157 0.0165   1454.   374.    80.   136.
  0.157 0.3655 0.0617 2.9657 0.0670 0.0791 0.0108 0.0183 0.0192   1454.   374.    80.   136.
  0.156 0.3576 0.0603 2.9106 0.0724 0.0904 0.0124 0.0210 0.0220   1454.   374.    80.   136.
  0.155 0.3498 0.0589 2.8562 0.0779 0.1017 0.0139 0.0236 0.0247   1453.   374.    80.   136.
  0.154 0.3422 0.0575 2.8025 0.0834 0.1130 0.0154 0.0262 0.0275   1453.   374.    80.   136.
  0.153 0.3346 0.0562 2.7494 0.0889 0.1243 0.0170 0.0288 0.0302   1453.   374.    80.   136.
  0.152 0.3272 0.0549 2.6969 0.0944 0.1356 0.0185 0.0314 0.0330   1453.   374.    79.   136.
  0.151 0.3199 0.0536 2.6451 0.0999 0.1469 0.0200 0.0341 0.0357   1453.   374.    79.   136.
  0.150 0.3127 0.0523 2.5940 0.1053 0.1582 0.0215 0.0367 0.0385   1453.   374.    79.   136.
  0.149 0.3056 0.0511 2.5434 0.1108 0.1695 0.0230 0.0393 0.0412   1453.   374.    79.   136.
  0.148 0.2987 0.0499 2.4935 0.1163 0.1808 0.0245 0.0419 0.0440   1453.   374.    79.   136.
  0.147 0.2918 0.0487 2.4441 0.1218 0.1921 0.0260 0.0445 0.0467   1453.   374.    79.   135.
  0.146 0.2851 0.0475 2.3954 0.1273 0.2034 0.0275 0.0471 0.0495   1454.   374.    79.   135.
  0.145 0.2784 0.0463 2.3472 0.1327 0.2147 0.0290 0.0498 0.0522   1454.   374.    79.   135.
  0.144 0.2719 0.0452 2.2997 0.1382 0.2260 0.0304 0.0524 0.0550   1454.   374.    79.   135.
  0.143 0.2654 0.0441 2.2527 0.1437 0.2373 0.0319 0.0550 0.0577   1454.   374.    79.   135.
  0.142 0.2591 0.0430 2.2063 0.1492 0.2486 0.0334 0.0576 0.0605   1454.   374.    79.   135.
  0.141 0.2528 0.0419 2.1605 0.1547 0.2599 0.0348 0.0602 0.0632   1454.   374.    79.   135.
  0.140 0.2467 0.0409 2.1152 0.1601 0.2712 0.0362 0.0629 0.0660   1454.   374.    79.   135.
  0.139 0.2407 0.0398 2.0705 0.1656 0.2825 0.0377 0.0655 0.0687   1455.   374.    79.   135.
  0.138 0.2347 0.0388 2.0264 0.1711 0.2938 0.0391 0.0681 0.0715   1455.   374.    78.   135.
  0.137 0.2289 0.0378 1.9828 0.1766 0.3051 0.0405 0.0707 0.0742   1455.   373.    78.   135.
  0.136 0.2231 0.0368 1.9397 0.1821 0.3164 0.0419 0.0733 0.0770   1455.   373.    78.   135.
  0.135 0.2174 0.0358 1.8972 0.1875 0.3277 0.0432 0.0759 0.0797   1455.   373.    78.   135.
  0.134 0.2119 0.0349 1.8553 0.1930 0.3390 0.0446 0.0785 0.0825   1455.   373.    78.   135.
  0.133 0.2064 0.0340 1.8139 0.1985 0.3503 0.0460 0.0812 0.0852   1456.   373.    78.   135.
  0.132 0.2010 0.0330 1.7730 0.2040 0.3616 0.0473 0.0838 0.0880   1456.   373.    78.   135.
  0.131 0.1957 0.0321 1.7327 0.2095 0.3729 0.0486 0.0864 0.0907   1456.   373.    78.   135.
  0.130 0.1905 0.0313 1.6929 0.2149 0.3842 0.0499 0.0890 0.0935   1456.   373.    78.   135.
  0.129 0.1854 0.0304 1.6536 0.2204 0.3955 0.0512 0.0916 0.0962   1456.   373.    78.   135.
  0.128 0.1804 0.0296 1.6149 0.2259 0.4068 0.0525 0.0942 0.0990   1457.   373.    78.   135.
  0.127 0.1754 0.0287 1.5767 0.2314 0.4181 0.0538 0.0968 0.1017   1457.   373.    78.   135.
  0.126 0.1706 0.0279 1.5390 0.2368 0.4294 0.0551 0.0995 0.1044   1457.   373.    78.   135.
  0.125 0.1658 0.0271 1.5018 0.2423 0.4407 0.0563 0.1021 0.1072   1457.   373.    78.   135.
  0.124 0.1611 0.0263 1.4652 0.2478 0.4520 0.0575 0.1047 0.1099   1457.   373.    78.   135.
  0.123 0.1565 0.0256 1.4291 0.2533 0.4633 0.0587 0.1073 0.1127   1458.   373.    78.   135.
  0.122 0.1520 0.0248 1.3935 0.2587 0.4746 0.0599 0.1099 0.1154   1458.   373.    78.   135.
  0.121 0.1476 0.0241 1.3584 0.2642 0.4859 0.0611 0.1125 0.1182   1458.   373.    78.   135.
  0.120 0.1432 0.0233 1.3239 0.2697 0.4972 0.0622 0.1151 0.1209   1458.   373.    78.   135.
  0.119 0.1390 0.0226 1.2898 0.2752 0.5085 0.0634 0.1177 0.1237   1458.   373.    78.   135.
  0.118 0.1348 0.0219 1.2563 0.2806 0.5198 0.0645 0.1203 0.1264   1458.   373.    78.   135.
